job title,company name,location,skills,links
Cost Accountant,Eltakamol -,"Cairo, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · Accounting/Finance · Accounting · Cost Accounting · Food · Hotels · Restaurants · Financial Analysis · Finance,https://wuzzuf.net/jobs/p/1Byids9MhXsv-Cost-Accountant-Eltakamol-Cairo-Egypt?o=20&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
Accountant - Food & Beverage,Confidential -,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Accounting/Finance · Finance · Food & Beverage · Restaurant · Accounting · Financial Analysis · Financial Management · FMCG · Microsoft Office,https://wuzzuf.net/jobs/p/trM4kg30yKuj-Accountant---Food-Beverage-Cairo-Egypt?o=21&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
Executive Pastry Chef,Pink Garden -,"Sheikh Zayed, Giza, Egypt ",Full TimeManager · 5 - 10 Yrs of Exp · Hospitality/Hotels/Food Services · Chef · Kitchen · Pastry · Hospitality · Hotels · Management,https://wuzzuf.net/jobs/p/TcoLV4Ls7tic-Executive-Pastry-Chef-Pink-Garden-Giza-Egypt?o=22&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
Financial Analyst,Burger King -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · Accounting/Finance · Analyst/Research · Accounting · analytical · business · Commerce · Communication · Computer Skills · English · Finance,https://wuzzuf.net/jobs/p/kZYI6REZjkXN-Financial-Analyst-Burger-King-Cairo-Egypt?o=23&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
Talent Acquisition Manager,Cilantro -,"Maadi, Cairo, Egypt ",Full TimeManager · 5+ Yrs of Exp · Human Resources · Management · Human Resources (HR) · Recruitment · Staffing · MS Office · Operations · English · Microsoft Office,https://wuzzuf.net/jobs/p/3ozW9njJDeDt-Talent-Acquisition-Manager-Cilantro-Cairo-Egypt?o=24&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
Recruitment Specialist,The Food Lab -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · males_only · Human Resources · Recruitment · Human Resources (HR) · Microsoft Office · FMCG · Human Resources · Recruitment Specialist · Selection,https://wuzzuf.net/jobs/p/APY4k3Ptvcr1-Recruitment-Specialist-The-Food-Lab-Cairo-Egypt?o=25&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
Key Account Manager (B2B / B2C),Confidential -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · Customer Service/Support · Operations/Management · Sales/Retail · FMCG · Sales · Business Administration · Sales Skills · Sales Target · POS · Food & Beverage,https://wuzzuf.net/jobs/p/d7geTtwv00Ay-Key-Account-Manager-B2B-B2C-Cairo-Egypt?o=26&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
Sourcing and Employer Branding Specialist,Koinz -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Human Resources · Marketing/PR/Advertising · Branding · Communication · Communication skills · E-Marketing · Employer Branding · Human Resources (HR) · Marketing · media,https://wuzzuf.net/jobs/p/FpfHMMuvpHN1-Sourcing-and-Employer-Branding-Specialist-Koinz-Cairo-Egypt?o=27&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
Senior Talent Management Partner,Koinz -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Human Resources · Human Resources (HR) · Management · Recruitment · Talent acquisition · Talent · Talent management,https://wuzzuf.net/jobs/p/al2wbnauzvUy-Senior-Talent-Management-Partner-Koinz-Cairo-Egypt?o=28&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
Graphic Designer,Koinz -,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Media/Journalism/Publishing · Adobe illustrator · Adobe Photoshop · Designer · Graphic · Graphic Design · Design · graphic designer,https://wuzzuf.net/jobs/p/RCsTYn2bsu5g-Graphic-Designer-Koinz-Cairo-Egypt?o=29&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
Hostess,Elkomy Group -,"Cairo, Egypt ",Full TimeEntry Level · 1 - 8 Yrs of Exp · females_only · Customer Service/Support · Hospitality/Hotels/Food Services · Customer Care · Customer Service · Customer Support · Hospitality · Support Services · Food & Beverage,https://wuzzuf.net/jobs/p/p13kbaB7khnE-Hostess-Elkomy-Group-Cairo-Egypt?o=30&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
Graphic Designer - Internship,Stepinside V-commerce -,"Alexandria, Egypt ",InternshipEntry Level · 0 - 1 Yrs of Exp · Creative/Design/Art · adobe · Adobe illustrator · Adobe Photoshop · Design · designing · Graphic · Graphic Design · Graphic Designing · photoshop,https://wuzzuf.net/jobs/p/tGcTDa4J2r9c-Graphic-Designer---Internship-Stepinside-V-commerce-Alexandria-Egypt?o=31&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
Sales Outdoor Specialist,Celesta Chocolatier -,"Cairo, Egypt ",Full TimeExperienced · 3 - 8 Yrs of Exp · males_only · Sales/Retail · Communication · Sales Target · Sales · Outdoor Sales · Marketing · English,https://wuzzuf.net/jobs/p/TIAQ0yi2j3t0-Sales-Outdoor-Specialist-Celesta-Chocolatier-Cairo-Egypt?o=32&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
IT Manager,Happy Joe's Pizza & Ice Cream - Middle East -,"Sheikh Zayed, Giza, Egypt ",Full TimeManager · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · IT · Telecommunication · Computer Science · Computer Engineering · Project Management,https://wuzzuf.net/jobs/p/qhdiXAtOTFaD-IT-Manager-Happy-Joes-Pizza-Ice-Cream---Middle-East-Giza-Egypt?o=33&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
Administration Services Section Head,NATCO Mercedes-Benz -,"Giza, Egypt ",Full TimeManager · 8 - 10 Yrs of Exp · Administration · Administration · Admin,https://wuzzuf.net/jobs/p/Hov6fbQ8LyW2-Administration-Services-Section-Head-NATCO-Mercedes-Benz-Giza-Egypt?o=34&l=sp&t=sj&a=restaurent|search-v3|hpb
,,,,
