Senior Software Engineer / Team lead,Dalia -,"Cairo, Egypt ",Full TimeWork From HomeManager · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Software Engineering · javaScript · MVC · Full Stack · Computer Science · Information Technology (IT) · Software,https://wuzzuf.net/jobs/p/F0ubv1GVNtQF-Senior-Software-Engineer-Team-lead-Dalia-Cairo-Egypt?o=22&l=sp&t=sj&a=software engineer|search-v3|hpb
"Senior Software Engineer (JavaScript, C#, ASP.Net and SQL Server)",Confidential -,"Dallas, United States ",Full TimeWork From HomeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · Software Engineering · SaaS · .Net · ASP.Net · JavaScript,https://wuzzuf.net/jobs/p/fTZi3nfg7SqE-Senior-Software-Engineer-JavaScript-C-ASPNet-and-SQL-Server-Dallas-United-States?o=23&l=sp&t=sj&a=software engineer|search-v3|hpb
Quality Control Software Engineer,STC Solutions - Egypt -,"Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Automation · Software Development · Software Testing · Software Engineering · Testing · Selenium · Software,https://wuzzuf.net/jobs/p/YoEaUxEffphQ-Quality-Control-Software-Engineer-STC-Solutions---Egypt-Cairo-Egypt?o=24&l=sp&t=sj&a=software engineer|search-v3|hpb
Senior/Lead Java Software Engineer,_VOIS Egypt -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Java · Software Development · Spring,https://wuzzuf.net/jobs/p/doCz9fRxpSb5-SeniorLead-Java-Software-Engineer-VOIS-Egypt-Cairo-Egypt?o=25&l=sp&t=sj&a=software engineer|search-v3|hpb
Mobile Maintenance Engineer (Software & Hardware),Tradeline Stores -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Technical Support · Software · Apple · iOS · Troubleshooting,https://wuzzuf.net/jobs/p/lyyURntkLyN1-Mobile-Maintenance-Engineer-Software-Hardware-Tradeline-Stores-Giza-Egypt?o=26&l=sp&t=sj&a=software engineer|search-v3|hpb
Mean Stack Software Engineer,EasyKash -,"Dokki, Giza, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · NodeJS · AngularJS · jQuery · React · OOP · HTML5 · CSS3 · Agile,https://wuzzuf.net/jobs/p/x57Vh5NjlqOr-Mean-Stack-Software-Engineer-EasyKash-Giza-Egypt?o=27&l=sp&t=sj&a=software engineer|search-v3|hpb
Senior Software Testing Engineer,Channel VAS -,"Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Automation · Agile · Engineering · Computer Science · Linux · Senior Software Testing Engineer,https://wuzzuf.net/jobs/p/p4AvyJcirhwz-Senior-Software-Testing-Engineer-Channel-VAS-Cairo-Egypt?o=28&l=sp&t=sj&a=software engineer|search-v3|hpb
Senior Software Quality Control Engineer,Safa Soft -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 6 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Quality Control · Agile · Software Testing · Software · Computer Science · Automation · Automation Testing,https://wuzzuf.net/jobs/p/HvoWbe3Lhi4Y-Senior-Software-Quality-Control-Engineer-Safa-Soft-Cairo-Egypt?o=29&l=sp&t=sj&a=software engineer|search-v3|hpb
Software QA/Automation Engineer [Python],FlairsTech -,"Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Automation · Automation Testing · Computer Science · Information Technology (IT) · Performance · Python · Software,https://wuzzuf.net/jobs/p/N85XWmtIQKXF-Software-QAAutomation-Engineer-Python-FlairsTech-Cairo-Egypt?o=30&l=sp&t=sj&a=software engineer|search-v3|hpb
job title,company name,location,skills,links
Senior PHP Software Engineer - Alexandria,Softxpert Incorporation  -,"Alexandria, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Computer Science · Computer Engineering · PHP Development · OOP · SDLC · GIT · SVN,https://wuzzuf.net/jobs/p/DS0EB3gAvFLJ-Senior-PHP-Software-Engineer---Alexandria-Softxpert-Incorporation-Alexandria-Egypt?o=31&l=sp&t=sj&a=software engineer|search-v3|hpb
Senior Technical Sales Engineer – Software,Caelum Egypt -,"Dokki, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Communication · Computer Science · Information Technology (IT) · Sales · Software Engineering · Software · Software Sales,https://wuzzuf.net/jobs/p/lnIQZFSd0OtH-Senior-Technical-Sales-Engineer-–-Software-Caelum-Egypt-Giza-Egypt?o=32&l=sp&t=sj&a=software engineer|search-v3|hpb
