Lead Software Engineer,Nacita -,"Cairo, Egypt ",Full TimeManager · 6+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Engineer · Software Lead · Senior Software Engineer · Senior Software · Senior Full Stack · Software Manager · Software · Computer Science,https://wuzzuf.net/jobs/p/XLYsZRDTz7xd-Lead-Software-Engineer-Nacita-Cairo-Egypt?o=26&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Senior Full Stack Web Developer,Icity -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Front-End Development · Computer Science · HTML · CSS · Development · front-end · JavaScript · Software Development,https://wuzzuf.net/jobs/p/cL3J28cjtbuG-Senior-Full-Stack-Web-Developer-Icity-Cairo-Egypt?o=27&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Front-End Web Developer (ReactJS),Confidential -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Scrum · Git · JavaScript · React · Spring,https://wuzzuf.net/jobs/p/db3ycWaVbWx5-Front-End-Web-Developer-ReactJS-Cairo-Egypt?o=28&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
QA Engineer,34ML -,"Heliopolis, Cairo, Egypt ",Full TimeEntry Level · 0 - 3 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Software Development · Information Technology (IT) · Mobile Development · UI · AngularJS · Web Development · PHP,https://wuzzuf.net/jobs/p/km0wj6JuppxD-QA-Engineer-34ML-Cairo-Egypt?o=29&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Software Engineer (Django),Xpovi -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Back-End Developer · developer · Django · JavaScript · Software Development · Information Technology (IT) · back-end · React.js,https://wuzzuf.net/jobs/p/01ixOaozkakJ-Software-Engineer-Django-Xpovi-Cairo-Egypt?o=30&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
job title,company name,location,skills,links
,,,,
Front-End Web Developer - USA (Remotely),Mobile Wave 3 -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React · Angular · HTML5 · websockets · REST · Git · CI/CD · API,https://wuzzuf.net/jobs/p/3y9nhFQM9Wvo-Front-End-Web-Developer---USA-Remotely-Mobile-Wave-3-Cairo-Egypt?o=31&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
Senior Full Stack Web Developer,Dimensions Information Technology -,"Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C# · ASP.NET · SQL · .NET · MVC · Angular · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/yXUW5ntqttfj-Senior-Full-Stack-Web-Developer-Dimensions-Information-Technology-Cairo-Egypt?o=32&l=sp&t=sj&a=web engineer|search-v3|hpb
,,,,
