job title,company name,location,skills,links
Automation Engineer - Waste Heat Recovery Project,Suez Cement – Heidelberg Cement -,"Helwan, Cairo, Egypt ",Full TimeFreelance / ProjectExperienced · 10+ Yrs of Exp · Engineering - Mechanical/Electrical · Automation · Electrical · Electrical power · Engineering · Maintenance · Installation · Power · English · Project Management,https://wuzzuf.net/jobs/p/nmLTalVL6tvV-Automation-Engineer---Waste-Heat-Recovery-Project-Suez-Cement-–-Heidelberg-Cement-Cairo-Egypt?o=22&l=sp&t=sj&a=engineer|search-v3|hpb
Quality Assurance Automation Engineer,Docusign -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Java · Selenium · Automation · QA · QA Automation · Agile · Computer Science,https://wuzzuf.net/jobs/p/PRtpPe8yBL7M-Quality-Assurance-Automation-Engineer-Docusign-Cairo-Egypt?o=23&l=sp&t=sj&a=engineer|search-v3|hpb
Senior C++ Software Engineer,Viavi Solutions -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C++ · Software Development · Software Engineering · Software · Computer Science · Engineering · Development · Linux,https://wuzzuf.net/jobs/p/aKPOGrU3ay9U-Senior-C-Software-Engineer-Viavi-Solutions-Cairo-Egypt?o=24&l=sp&t=sj&a=engineer|search-v3|hpb
Sales Engineer (Electrical Panel Field),Chint Egemac -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Sales/Retail · Engineering - Mechanical/Electrical · Electrical Engineering · Medium Voltage Panel · Tendering · Sales · Low Voltage · Sales Account Management · Sales Skills · Sales Target,https://wuzzuf.net/jobs/p/YhU69qrjMKwS-Sales-Engineer-Electrical-Panel-Field-Chint-Egemac-Giza-Egypt?o=25&l=sp&t=sj&a=engineer|search-v3|hpb
Assistant Chief Engineer,Black Ball Sporting Club -,"New Cairo, Cairo, Egypt ",Full TimeManager · 5 - 6 Yrs of Exp · Engineering - Construction/Civil/Architecture · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Electrical Engineering · Electrical · Mechanical · Engineering · engineer · Hospital · Hotels,https://wuzzuf.net/jobs/p/ju6KLOWAQhx9-Assistant-Chief-Engineer-Black-Ball-Sporting-Club-Cairo-Egypt?o=26&l=sp&t=sj&a=engineer|search-v3|hpb
Digital Verification Engineers, Si-Vision -,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 1 - 5 Yrs of Exp · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Electronics Engineering · Engineering · Electronics · OVM · Perl · TCL · uvm · Verification,https://wuzzuf.net/jobs/p/5s5x2EwJpxST-Digital-Verification-Engineers-Si-Vision-Cairo-Egypt?o=27&l=sp&t=sj&a=engineer|search-v3|hpb
Senior Electromechanical Project Engineer,Nacita -,"Smart Village, Giza, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · Installation/Maintenance/Repair · Project/Program Management · Engineering - Mechanical/Electrical · Electrical · Mechanical · Engineering · CAD · Project Management · Electrical Engineering,https://wuzzuf.net/jobs/p/tEOaa1DxaLMJ-Senior-Electromechanical-Project-Engineer-Nacita-Giza-Egypt?o=28&l=sp&t=sj&a=engineer|search-v3|hpb
QA Automation Engineer,Docusign -,"Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Automation · Quality Assurance · Software · Java · Selenium WebDriver · Agile · Computer Science,https://wuzzuf.net/jobs/p/9ZZ9MKls9GFf-QA-Automation-Engineer-Docusign-Cairo-Egypt?o=29&l=sp&t=sj&a=engineer|search-v3|hpb
Electrical Material Planning Engineer,Chint Egemac -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · males_only · Engineering - Mechanical/Electrical · Material Planning · Electrical Engineering · Planning · Electrical · Engineering · English · Design · Technical Office · LV,https://wuzzuf.net/jobs/p/PyZmMud9HyJI-Electrical-Material-Planning-Engineer-Chint-Egemac-Giza-Egypt?o=30&l=sp&t=sj&a=engineer|search-v3|hpb
Quantity Surveyor Engineer,KCG -,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · Engineering - Construction/Civil/Architecture · Purchasing/Procurement · Engineering - Other · Civil · Civil Engineering · Quantity Surveying · Engineering · architectural,https://wuzzuf.net/jobs/p/Rv8bu4Cn8Qvu-Quantity-Surveyor-Engineer-KCG-Cairo-Egypt?o=31&l=sp&t=sj&a=engineer|search-v3|hpb
Contract Engineer,AlGammal Contracting -,"Haram, Giza, Egypt ",Full TimeExperienced · 7 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture · Project/Program Management · Engineering - Mechanical/Electrical · Civil Engineering · Contract · Contracting · engineer · Engineering · Construction · CAD,https://wuzzuf.net/jobs/p/DhXz4wh1hRiu-Contract-Engineer-AlGammal-Contracting-Giza-Egypt?o=32&l=sp&t=sj&a=engineer|search-v3|hpb
Senior Software Quality Control Engineer,Neom Tech -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · Testing · Software Testing · Computer Engineering · QC,https://wuzzuf.net/jobs/p/3SmHyrLOHRlm-Senior-Software-Quality-Control-Engineer-Neom-Tech-Cairo-Egypt?o=33&l=sp&t=sj&a=engineer|search-v3|hpb
Civil Site Engineer,Zaytoun development -,"New Capital, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · Engineering - Construction/Civil/Architecture · Project/Program Management · Engineering · Civil Engineering · Construction · Architecture · Civil · English · MS Office · AutoCAD,https://wuzzuf.net/jobs/p/Ro3qTyPyhNCF-Civil-Site-Engineer-Zaytoun-development-Cairo-Egypt?o=34&l=sp&t=sj&a=engineer|search-v3|hpb
Fresh Service Engineer,sphinx marine -,"Smouha, Alexandria, Egypt ",Full TimeEntry Level · 0 - 3 Yrs of Exp · males_only · Installation/Maintenance/Repair · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Communication · Communication skills,https://wuzzuf.net/jobs/p/UfXzrcqbHnS0-Fresh-Service-Engineer-sphinx-marine-Alexandria-Egypt?o=35&l=sp&t=sj&a=engineer|search-v3|hpb
Site Engineer,Artal Egypt -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Engineering · Architecture · Finishing · AutoCAD · Microsoft Excel · Site Engineering · Construction · Drawings · Safety,https://wuzzuf.net/jobs/p/d1TBkwxePAvu-Site-Engineer-Artal-Egypt-Cairo-Egypt?o=36&l=sp&t=sj&a=engineer|search-v3|hpb
Mechanical Hydraulics Engineer,ITAC -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · males_only · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Mechanical Engineering · Engineering · Manufacturing · Production · CNC · Quality · Computer Skills · Miling,https://wuzzuf.net/jobs/p/CRyrlhIygBCG-Mechanical-Hydraulics-Engineer-ITAC-Cairo-Egypt?o=37&l=sp&t=sj&a=engineer|search-v3|hpb
Senior Electrical Engineer - October,Hayat Kimya -,"6th of October, Giza, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · Engineering - Mechanical/Electrical · Electrical Engineering · Electrical · Engineering · Power · Automation · Control · PLC · SAP · Microsoft,https://wuzzuf.net/jobs/p/Vf5RAuAmBngK-Senior-Electrical-Engineer---October-Hayat-Kimya-Giza-Egypt?o=38&l=sp&t=sj&a=engineer|search-v3|hpb
Sales Engineer- Elevators field,Partner & More -,"Manama, Bahrain ",Full TimeExperienced · 2 - 4 Yrs of Exp · Sales/Retail · Engineering - Mechanical/Electrical · Elevators · Engineering · Sales engineer · sales skills · Sales Engineering · Sales Target · English,https://wuzzuf.net/jobs/p/wr5F4OsnyH8T-Sales-Engineer--Elevators-field-Partner-More-Manama-Bahrain?o=39&l=sp&t=sj&a=engineer|search-v3|hpb
MEP Engineer Electrical,Confidential -,"Sohag, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Engineering - Mechanical/Electrical · Electrical Engineering · Electrical · excel · Arabic · English · Engineering,https://wuzzuf.net/jobs/p/GlpzXmEqDmpF-MEP-Engineer-Electrical-Sohag-Egypt?o=40&l=sp&t=sj&a=engineer|search-v3|hpb
Electrical Sales Engineer,metco -,"Zamalek, Cairo, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · Sales/Retail · Engineering - Mechanical/Electrical · Electrical · Sales Target · sales skills · English · Lighting · Automation · Engineering · Electrical Engineering,https://wuzzuf.net/jobs/p/8Pd4CoKVRI9Y-Electrical-Sales-Engineer-metco-Cairo-Egypt?o=41&l=sp&t=sj&a=engineer|search-v3|hpb
Sales Engineer - Electrical / Lighting,Al Andalus Electrical Solutions -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · Business Development · Sales/Retail · Engineering - Mechanical/Electrical · Electrical · Lighting · Sales · Electrical Engineering · Sales Target · Engineering · sales skills,https://wuzzuf.net/jobs/p/1fB4iSqIaEj9-Sales-Engineer---Electrical-Lighting-Al-Andalus-Electrical-Solutions-Cairo-Egypt?o=42&l=sp&t=sj&a=engineer|search-v3|hpb
Architecture Engineer,Confidential -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · females_preferred · Engineering - Construction/Civil/Architecture · Creative/Design/Art · Engineering · Architecture · AutoCAD · 3D Max · 3D · Photoshop · Architecture Engineering · Creative,https://wuzzuf.net/jobs/p/jB1uyHVSeaX7-Architecture-Engineer-Cairo-Egypt?o=43&l=sp&t=sj&a=engineer|search-v3|hpb
Sales Engineer (Outdoor),Future Office Furniture  -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Engineering - Construction/Civil/Architecture · Creative/Design/Art · Sales/Retail · Communication · Engineering · sales skills · Sales Target · Sales · AutoCAD · Interior Design,https://wuzzuf.net/jobs/p/HN0Xfg4utWoK-Sales-Engineer-Outdoor-Future-Office-Furniture-Cairo-Egypt?o=44&l=sp&t=sj&a=engineer|search-v3|hpb
Planning Engineer,"LS ELECTRIC Co., Ltd. -","New Cairo, Cairo, Egypt ",Full TimeExperienced · 5 - 8 Yrs of Exp · Project/Program Management · Engineering - Mechanical/Electrical · Engineering · Electrical · Planning · MS · Project Management · Primavera P6 · Primavera · P6,https://wuzzuf.net/jobs/p/RQ4O6lt33Eh0-Planning-Engineer-LS-ELECTRIC-Co-Ltd-Cairo-Egypt?o=45&l=sp&t=sj&a=engineer|search-v3|hpb
Research And Development Engineer,LG Electronics -,"10th of Ramadan City, Sharqia, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · R&D/Science · Manufacturing/Production · Engineering - Mechanical/Electrical · Mechanical Engineering · Development · Mechanical · 2D · Engineering · Planning · Project,https://wuzzuf.net/jobs/p/GiO0E92PLQQa-Research-And-Development-Engineer-LG-Electronics-Sharqia-Egypt?o=46&l=sp&t=sj&a=engineer|search-v3|hpb
