job title,company name,location,skills,links
English Teacher - British Section,Smart Language School -,"Tanta, Gharbia, Egypt ",Full TimePart TimeEntry Level · 1+ Yrs of Exp · Education/Teaching · Training/Instructor · Communication skills · Education · Educational · English · English Teaching · Skills · Teacher · Teaching,https://wuzzuf.net/jobs/p/HDs7rZqzUml1-English-Teacher---British-Section-Smart-Language-School-Gharbia-Egypt?o=25&l=sp&t=sj&a=english teacher|search-v3|hpb
Pre-School English Teacher,Leap Development Hub -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 4 Yrs of Exp · Education/Teaching · Education · Teaching · Nursery · English · Nurseries · Pre School · Schools,https://wuzzuf.net/jobs/p/qMvd2vOAW8XV-Pre-School-English-Teacher-Leap-Development-Hub-Cairo-Egypt?o=26&l=sp&t=sj&a=english teacher|search-v3|hpb
Music Teacher,Prime International School -,"Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Education/Teaching · Education · Music · Teaching · English · Communication Skills,https://wuzzuf.net/jobs/p/0rNhnRJFWSYs-Music-Teacher-Prime-International-School-Cairo-Egypt?o=27&l=sp&t=sj&a=english teacher|search-v3|hpb
Classroom Teacher/CoTeacher,Edu-Zone -,"Sheikh Zayed, Giza, Egypt ",Full TimeEntry Level · 1 - 7 Yrs of Exp · Education/Teaching · Training/Instructor · Nursery · Education · School · Teaching · Co-teacher · English,https://wuzzuf.net/jobs/p/WzhxukyaR6VW-Classroom-TeacherCoTeacher-Edu-Zone-Giza-Egypt?o=28&l=sp&t=sj&a=english teacher|search-v3|hpb
French Teacher Assistant,Confidential -,"Glim, Alexandria, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Education/Teaching · french · Education · French Teaching · English · Teaching · Classroom Management,https://wuzzuf.net/jobs/p/hxQMQVelwF8x-French-Teacher-Assistant-Alexandria-Egypt?o=29&l=sp&t=sj&a=english teacher|search-v3|hpb
Computer Teacher,El Massria Integrated Schools -,"10th of Ramadan City, Sharqia, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Education/Teaching · Education · Computer Skills · Teaching · Computer Teaching · Teacher · English · computer,https://wuzzuf.net/jobs/p/2XcqxnrSKGmY-Computer-Teacher-El-Massria-Integrated-Schools-Sharqia-Egypt?o=30&l=sp&t=sj&a=english teacher|search-v3|hpb
Science Teacher -10th of Ramadan City,El Massria Integrated Schools -,"10th of Ramadan City, Sharqia, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Education/Teaching · Teacher · Education · Teaching · SAT · English · Computer Skills · Science · Co Teaching,https://wuzzuf.net/jobs/p/T91fqwSuxxmC-Science-Teacher--10th-of-Ramadan-City-El-Massria-Integrated-Schools-Sharqia-Egypt?o=31&l=sp&t=sj&a=english teacher|search-v3|hpb
KG Class Teacher,El Massria Integrated Schools -,"10th of Ramadan City, Sharqia, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Education/Teaching · Teaching · Education · Communication Skills · KG · English · kindergarten · Kg teacher · Teacher · Math,https://wuzzuf.net/jobs/p/p4H9A0sWtdxB-KG-Class-Teacher-El-Massria-Integrated-Schools-Sharqia-Egypt?o=32&l=sp&t=sj&a=english teacher|search-v3|hpb
English CO Teacher,The Baby Academy -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Education/Teaching · Education · Teaching · Communication Skills · English Teaching · English,https://wuzzuf.net/jobs/p/CdmZYOcpnqr2-English-CO-Teacher-The-Baby-Academy-Cairo-Egypt?o=33&l=sp&t=sj&a=english teacher|search-v3|hpb
Mathematics Teacher - 10th of Ramadan City,El Massria Integrated Schools -,"10th of Ramadan City, Sharqia, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Education/Teaching · Math · Education · SAT · Core State Standards · Mathematics · Teacher · Teaching · American diploma · Computer Skills,https://wuzzuf.net/jobs/p/NQSDfh5tdlK8-Mathematics-Teacher---10th-of-Ramadan-City-El-Massria-Integrated-Schools-Sharqia-Egypt?o=34&l=sp&t=sj&a=english teacher|search-v3|hpb
