job title,company name,location,skills,links
Arabic Teacher - Primary Stage,"British International School, Cairo -","Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Education/Teaching · Training/Instructor · Arabic · Arabic Teaching · Education · Teacher · Teaching,https://wuzzuf.net/jobs/p/GcE1Lrp7H3Th-Arabic-Teacher---Primary-Stage-British-International-School-Cairo-Giza-Egypt?o=32&l=sp&t=sj&a=teaching|search-v3|hpb
Art Teacher,Rizkallah Art Foundation -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 4 Yrs of Exp · females_only · Creative/Design/Art · Education/Teaching · Teacher · Art · Design · Creative · Fine Arts · Applied Arts · Child Education · Education,https://wuzzuf.net/jobs/p/zK7j8PUKjFJ6-Art-Teacher-Rizkallah-Art-Foundation-Cairo-Egypt?o=33&l=sp&t=sj&a=teaching|search-v3|hpb
Assistant Lecturer in Computing/Computer Science,El Sewedy Education - The Knowledge Hub Universities -,"New Capital, Cairo, Egypt ",Full TimeEntry Level · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Computer Science · Information Technology (IT) · Software Engineering · Communication Skills · Education · Teaching · Communication,https://wuzzuf.net/jobs/p/YJjqpGgCsOZ1-Assistant-Lecturer-in-ComputingComputer-Science-El-Sewedy-Education---The-Knowledge-Hub-Universities-Cairo-Egypt?o=34&l=sp&t=sj&a=teaching|search-v3|hpb
Assistant Lecturer in Ethical Hacking & Cybersecurity,El Sewedy Education - The Knowledge Hub Universities -,"Cairo, Egypt ",Full TimeManager · 8+ Yrs of Exp · IT/Software Development · Operations/Management · Education/Teaching · Education · Teaching · Leadership · Leadership Management · Ph.D. · English · Course,https://wuzzuf.net/jobs/p/hf0oVE4fq4nQ-Assistant-Lecturer-in-Ethical-Hacking-Cybersecurity-El-Sewedy-Education---The-Knowledge-Hub-Universities-Cairo-Egypt?o=35&l=sp&t=sj&a=teaching|search-v3|hpb
Summer Camp Counselor,Leap Development Hub -,"New Cairo, Cairo, Egypt ",InternshipStudent · Other · Education/Teaching · Camp · Camping · Education · Teaching,https://wuzzuf.net/jobs/p/YE25gtkTzEac-Summer-Camp-Counselor-Leap-Development-Hub-Cairo-Egypt?o=36&l=sp&t=sj&a=teaching|search-v3|hpb
HOD of English - American School,Confidential -,"New Cairo, Cairo, Egypt ",Full TimeManager · 7 - 15 Yrs of Exp · Education/Teaching · HOD · English · Education · Management · School · Teaching · Curriculum Development · American,https://wuzzuf.net/jobs/p/wJnlyYenISSG-HOD-of-English---American-School-Cairo-Egypt?o=37&l=sp&t=sj&a=teaching|search-v3|hpb
Camp Counselor - Internship,The Baby Academy -,"New Cairo, Cairo, Egypt ",InternshipStudent · 0 - 1 Yrs of Exp · Education/Teaching · Training/Instructor · Camps · Outdoors · Children Care · Education · Teaching · Supervising,https://wuzzuf.net/jobs/p/tdaJD9cSXDcx-Camp-Counselor---Internship-The-Baby-Academy-Cairo-Egypt?o=38&l=sp&t=sj&a=teaching|search-v3|hpb
School Principal,IVY -,"Cairo, Egypt ",Full TimeManager · 12 - 20 Yrs of Exp · Administration · Operations/Management · Education/Teaching · Administration · Education · Management · Teaching · School · English,https://wuzzuf.net/jobs/p/YeT6Lo9KdKWC-School-Principal-IVY-Cairo-Egypt?o=39&l=sp&t=sj&a=teaching|search-v3|hpb
Educational Content Creator - Alexandria,Arabic Localizer -,"San Stefano, Alexandria, Egypt ",Full TimeEntry Level · females_only · Writing/Editorial · Education/Teaching · English · Arabic · Research · Teaching · Writing · Marketing · Content Creation,https://wuzzuf.net/jobs/p/SADK2At7dVvf-Educational-Content-Creator---Alexandria-Arabic-Localizer-Alexandria-Egypt?o=40&l=sp&t=sj&a=teaching|search-v3|hpb
English Teacher,IVY -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 15 Yrs of Exp · Education/Teaching · Training/Instructor · CELTA · English · Smart Boards · TEFL · Teaching · English Teaching,https://wuzzuf.net/jobs/p/U5Hjt50ZgLtH-English-Teacher-IVY-Cairo-Egypt?o=41&l=sp&t=sj&a=teaching|search-v3|hpb
Teacher - all subject for Next Year,Nile international college -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · Education/Teaching · International · Teaching,https://wuzzuf.net/jobs/p/PVyOEartovHf-Teacher---all-subject-for-Next-Year-Nile-international-college-Cairo-Egypt?o=42&l=sp&t=sj&a=teaching|search-v3|hpb
Kids stuff,Confidential -,"Cairo, Egypt ",Full TimePart TimeShift BasedEntry Level · 0 - 4 Yrs of Exp · Education/Teaching · Support Services · Kids Teaching · Entertainment · play area,https://wuzzuf.net/jobs/p/yAzRksoovore-Kids-stuff-Cairo-Egypt?o=43&l=sp&t=sj&a=teaching|search-v3|hpb
English Language Instructor - Zagazig,UC Mas Zagazig -,"Zagazig, Sharqia, Egypt ",Part TimeExperienced · 2 - 3 Yrs of Exp · Education/Teaching · Training/Instructor · Training · Instructor · Teaching · Courses · Oxford · English,https://wuzzuf.net/jobs/p/HDyZHoYegK3x-English-Language-Instructor---Zagazig-UC-Mas-Zagazig-Sharqia-Egypt?o=44&l=sp&t=sj&a=teaching|search-v3|hpb
UC Mas Instructor,UC Mas Zagazig -,"Zagazig, Sharqia, Egypt ",Full TimePart TimeEntry Level · females_only · Education/Teaching · Training/Instructor · UC Mas · Education · Math · Mathematics · Teaching · Maths,https://wuzzuf.net/jobs/p/WiGu7macJi7E-UC-Mas-Instructor-UC-Mas-Zagazig-Sharqia-Egypt?o=45&l=sp&t=sj&a=teaching|search-v3|hpb
Math Teacher - Part time - Remotely,Dimensions  -,"Cairo, Egypt ",Part TimeWork From HomeExperienced · 8+ Yrs of Exp · Education/Teaching · Teaching · Education · Mathematics · Math · International School,https://wuzzuf.net/jobs/p/LrLYrV55kIbj-Math-Teacher---Part-time---Remotely-Dimensions-Cairo-Egypt?o=46&l=sp&t=sj&a=teaching|search-v3|hpb
