job title,company name,location,skills,links
HR Manager - Alexandria,Caduceus Lane -,"San Stefano, Alexandria, Egypt ",Full TimeManager · 8 - 12 Yrs of Exp · Administration · Human Resources · Operations/Management · Human Resources · Management · Personnel · Recruitment · Communication skills · Human Resources (HR) · HR,https://wuzzuf.net/jobs/p/K2KkF9PjB6dI-HR-Manager---Alexandria-Caduceus-Lane-Alexandria-Egypt?o=35&l=sp&t=sj&a=hr|search-v3|hpb
HR & Payroll Application Consultant,HITS Technologies  -,"Nasr City, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Business English · Technical Support · Customer Support · HR Systems · Commerce · Database · Configuration · ERP,https://wuzzuf.net/jobs/p/FrHbecViKsLd-HR-Payroll-Application-Consultant-HITS-Technologies-Cairo-Egypt?o=36&l=sp&t=sj&a=hr|search-v3|hpb
Senior HR Specialist,Al Asdekaa Group for Dairies Production and Trading -,"Alexandria, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · Human Resources · HR · Human Resources (HR) · Recruitment · OD · Analysis · Microsoft Excel · Tableau · BI · MS Office,https://wuzzuf.net/jobs/p/yu7cAK3cc368-Senior-HR-Specialist-Al-Asdekaa-Group-for-Dairies-Production-and-Trading-Alexandria-Egypt?o=37&l=sp&t=sj&a=hr|search-v3|hpb
HR Manager,Mamdouh Akef Construction  -,"Cairo, Egypt ",Full TimeManager · 5+ Yrs of Exp · Human Resources · Human Resources · Hiring · Human Resources (HR) · Employee Relations · Microsoft Office · Recruitment · Personnel · Performance Management,https://wuzzuf.net/jobs/p/PNW6tCT9Oanp-HR-Manager-Mamdouh-Akef-Construction-Cairo-Egypt?o=38&l=sp&t=sj&a=hr|search-v3|hpb
Sourcing Coordinator -HR Department,Concentrix -,"Giza, Egypt ",Full TimeEntry Level · 0 - 1 Yrs of Exp · Administration · Human Resources · Human Resources (HR) · English · Microsoft Excel · Sourcing · Recruitment,https://wuzzuf.net/jobs/p/dQcMqHTjJYF9-Sourcing-Coordinator--HR-Department-Concentrix-Giza-Egypt?o=39&l=sp&t=sj&a=hr|search-v3|hpb
HR Administrator (C&B),Ostool Transport -,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Administration · Human Resources · Human Resources (HR) · C&B · Microsoft Excel · Recruitment · Business Administration · Microsoft,https://wuzzuf.net/jobs/p/dG5FlKDDVaqi-HR-Administrator-CB-Ostool-Transport-Giza-Egypt?o=40&l=sp&t=sj&a=hr|search-v3|hpb
HR Admin & Receptionist,Confidential -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · females_only · Administration · Customer Service/Support · Human Resources · Admin · Administration · Communication · Communication skills · Customer Service · English · Microsoft Office,https://wuzzuf.net/jobs/p/yH9QXPcWPvle-HR-Admin-Receptionist-Cairo-Egypt?o=41&l=sp&t=sj&a=hr|search-v3|hpb
HR Specialist,Englizya for public transportation  -,"Shubra Alkhaymah, Qalubia, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · females_only · Human Resources · Human Resources · Payroll · Recruitment · Personnel · Human Resources (HR) · Business Administration · Communication · Communication skills · Microsoft Office,https://wuzzuf.net/jobs/p/Y0GPPabtBm54-HR-Specialist-Englizya-for-public-transportation-Qalubia-Egypt?o=42&l=sp&t=sj&a=hr|search-v3|hpb
HR Generalist (Warehouse),Talabeyah -,"Imbaba, Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · males_only · Administration · Human Resources · Admin · Administration · HR · Human Resources (HR) · HR Admin · Microsoft Office · Recruitment · Labor Law,https://wuzzuf.net/jobs/p/uKXgWQbrjbcm-HR-Generalist-Warehouse-Talabeyah-Giza-Egypt?o=43&l=sp&t=sj&a=hr|search-v3|hpb
HR Specialist,SAPTelecom -,"Mokattam, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Human Resources · Administration · Payroll · Human Resources · Recruitment · Communication skills · Human Resources (HR) · Microsoft Office,https://wuzzuf.net/jobs/p/HkAyZgZSeah8-HR-Specialist-SAPTelecom-Cairo-Egypt?o=44&l=sp&t=sj&a=hr|search-v3|hpb
HR Operations Specialist,Squadio -,"Cairo, Egypt ",Full TimeWork From HomeEntry Level · 1 - 4 Yrs of Exp · Human Resources · Human Resources (HR) · Operations Management · Analysis · Communication · Communication skills · English · Microsoft Office · Operations · Recruitment,https://wuzzuf.net/jobs/p/Vlk7xgkfHs89-HR-Operations-Specialist-Squadio-Cairo-Egypt?o=45&l=sp&t=sj&a=hr|search-v3|hpb
job title,company name,location,skills,links
Recruitment / HR Coordinator,Atomica -,"Cairo, Egypt ",Full TimeWork From HomeEntry Level · 1+ Yrs of Exp · Human Resources · Recruitment · Talent acquisition · Talent management · Human Resources · Human Resources Development · Human Resource Management · Talent assessment · Human Resources (HR) · Microsoft Office,https://wuzzuf.net/jobs/p/Bp6Sa8NGsGd5-Recruitment-HR-Coordinator-Atomica-Cairo-Egypt?o=46&l=sp&t=sj&a=hr|search-v3|hpb
