job title,company name,location,skills,links
Senior Mechanical Engineer - Cairo,Consomity -,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 8 - 10 Yrs of Exp · Engineering - Mechanical/Electrical · Consultancy · AutoCAD · Engineering · Technical Office · Electrical Engineering · Mechanical Engineering · Water Treatment · Drainage · Design,https://wuzzuf.net/jobs/p/vyrVfDkq4ioK-Senior-Mechanical-Engineer---Cairo-Consomity-Cairo-Egypt?o=22&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Mechanical Engineer,MCV -,"Alsalihiyyah Aljadidah, Sharqia, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Engineering - Mechanical/Electrical · Engineering · Electrical Engineering · Mechanical Engineering · Mechanical,https://wuzzuf.net/jobs/p/foJmW7Di8QPo-Mechanical-Engineer-MCV-Sharqia-Egypt?o=23&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Mechanical Maintenance Engineer,Marbella For Food Industry  -,"6th of October, Giza, Egypt ",Full TimeExperienced · 3 - 10 Yrs of Exp · Installation/Maintenance/Repair · Manufacturing/Production · Engineering - Mechanical/Electrical · CMMS · Mechanical Engineering · Maintenance · Planning · Production · Mechanical · Engineering,https://wuzzuf.net/jobs/p/eJX58XY2wPOT-Mechanical-Maintenance-Engineer-Marbella-For-Food-Industry-Giza-Egypt?o=24&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Senior Mechanical (Technical Office) Engineer,Confidential -,"Tanta, Gharbia, Egypt ",Full TimeExperienced · 8 - 10 Yrs of Exp · Engineering - Mechanical/Electrical · Mechanical Engineering · Mechanical · Technical Office Engineering · BIM · Revit,https://wuzzuf.net/jobs/p/5TeVOCtNncrK-Senior-Mechanical-Technical-Office-Engineer-Gharbia-Egypt?o=25&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Car Maintenance/ Mechanical Engineer,Elabd Foods -,"Downtown, Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · males_only · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Car Maintenance · Mechanical Engineering · Mechanical · Electrical Engineering · Automotive · Car · Engineering · Maintenance,https://wuzzuf.net/jobs/p/uXkJdAVhcfDT-Car-Maintenance-Mechanical-Engineer-Elabd-Foods-Cairo-Egypt?o=26&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Senior Mechanical Technical Office Engineer,Al Safa -,"Cairo, Egypt ",Full TimeExperienced · 3 - 6 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Construction · Engineering · Maintenance · Mechanical Engineering · Mechanical · Mechanical Works,https://wuzzuf.net/jobs/p/eYeCoym0kP8s-Senior-Mechanical-Technical-Office-Engineer-Al-Safa-Cairo-Egypt?o=27&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Mechanical Technical Office Engineer,Grid Fine Finishes -,"Zamalek, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · Engineering - Mechanical/Electrical · AutoCAD · Engineering · Firefighting · HVAC · Mechanical · Shop Drawings · Plumbing · Mechanical Engineering · Microsoft Office,https://wuzzuf.net/jobs/p/OK4gUoGn3HLT-Mechanical-Technical-Office-Engineer-Grid-Fine-Finishes-Cairo-Egypt?o=28&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Senior Mechanical Maintenance Engineer,Hayat Kimya -,"Ain Sokhna, Suez, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Mechanical Engineering · Engineering · Maintenance · English · Mechanical · SAP · MS Office,https://wuzzuf.net/jobs/p/3PqvJRTtp4Zu-Senior-Mechanical-Maintenance-Engineer-Hayat-Kimya-Suez-Egypt?o=29&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Fresh Graduate Purchasing Engineer ( Mechanical / Electrical / Chemistry ),Confidential -,"Alsadat City, Monufya, Egypt ",Full TimeEntry Level · 0 - 2 Yrs of Exp · males_only · Purchasing/Procurement · Engineering - Mechanical/Electrical · Engineering - Other · Mechanical Engineering · Electrical · Industrial · Chemistry · Engineering · English · Purchasing,https://wuzzuf.net/jobs/p/gtqSDM6mW3ZE-Fresh-Graduate-Purchasing-Engineer-Mechanical-Electrical-Chemistry-Monufya-Egypt?o=30&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
Lab Technician – Mechanical Engineering,German International University -,"Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Administration · Engineering - Mechanical/Electrical · Engineering · Installation · Laboratory · Lab · Maintenance · Mechanical Engineering · Mechanical · Manufacturing,https://wuzzuf.net/jobs/p/lATYrJEFg1zN-Lab-Technician-–-Mechanical-Engineering-German-International-University-Cairo-Egypt?o=31&l=sp&t=sj&a=mechanical enginner|search-v3|hpb
