job title,company name,location,skills,links
Physical Education Teacher - (P.E) - Alexandria,Egyptian British International School -,"Alexandria, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Sports and Leisure · Education/Teaching · Training/Instructor · Physical Education · Education · PE · Teaching · Learning · Communication skills · English,https://wuzzuf.net/jobs/p/QJW1cfI8Yae7-Physical-Education-Teacher---PE---Alexandria-Egyptian-British-International-School-Alexandria-Egypt?o=40&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
PYP Mandarin Teacher,Uptown International School UISEgypt -,"Mokattam, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Education/Teaching · IB · PYP · Teaching · Education · International Curriculum · English · Mandarin · IB pyp,https://wuzzuf.net/jobs/p/45rwpkE4WaZ6-PYP-Mandarin-Teacher-Uptown-International-School-UISEgypt-Cairo-Egypt?o=41&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
Kindergarten Teacher,Manhattan Schools -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 4 Yrs of Exp · Education/Teaching · KG · Education · Kindergarten · Teacher · Teaching,https://wuzzuf.net/jobs/p/nIckEKPAvhI0-Kindergarten-Teacher-Manhattan-Schools-Cairo-Egypt?o=42&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
Math Teacher - British Section,Smart Language School -,"Tanta, Gharbia, Egypt ",Full TimePart TimeEntry Level · 1+ Yrs of Exp · R&D/Science · Education/Teaching · Training/Instructor · Math · Education · Mathematics · English · Teaching,https://wuzzuf.net/jobs/p/YbApAHTJyMTJ-Math-Teacher---British-Section-Smart-Language-School-Gharbia-Egypt?o=43&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
English CO Teacher,The Baby Academy -,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · Education/Teaching · Education · Teaching · Communication Skills · English Teaching · English,https://wuzzuf.net/jobs/p/CdmZYOcpnqr2-English-CO-Teacher-The-Baby-Academy-Cairo-Egypt?o=44&l=sp&t=sj&a=teacher|search-v3|hpb
,,,,
